component_rank,node_count,share_of_all_nodes_pct
597,2,0.001367147446852143
598,2,0.001367147446852143
599,2,0.001367147446852143
600,2,0.001367147446852143
601,2,0.001367147446852143
602,2,0.001367147446852143
603,2,0.001367147446852143
604,2,0.001367147446852143
605,2,0.001367147446852143
606,2,0.001367147446852143
607,2,0.001367147446852143
608,2,0.001367147446852143
609,2,0.001367147446852143
610,2,0.001367147446852143
611,2,0.001367147446852143
612,2,0.001367147446852143
613,2,0.001367147446852143
614,2,0.001367147446852143
615,2,0.001367147446852143
616,2,0.001367147446852143
617,2,0.001367147446852143
618,2,0.001367147446852143
619,2,0.001367147446852143
620,2,0.001367147446852143
621,2,0.001367147446852143
622,2,0.001367147446852143
623,2,0.001367147446852143
624,2,0.001367147446852143
625,2,0.001367147446852143
626,2,0.001367147446852143
627,2,0.001367147446852143
628,2,0.001367147446852143
629,2,0.001367147446852143
630,2,0.001367147446852143
631,2,0.001367147446852143
632,2,0.001367147446852143
633,2,0.001367147446852143
634,2,0.001367147446852143
635,2,0.001367147446852143
636,2,0.001367147446852143
637,2,0.001367147446852143
638,2,0.001367147446852143
639,2,0.001367147446852143
640,2,0.001367147446852143
641,2,0.001367147446852143
642,2,0.001367147446852143
643,2,0.001367147446852143
644,2,0.001367147446852143
645,2,0.001367147446852143
646,2,0.001367147446852143
647,2,0.001367147446852143
648,2,0.001367147446852143
649,2,0.001367147446852143
650,2,0.001367147446852143
651,2,0.001367147446852143
652,2,0.001367147446852143
653,2,0.001367147446852143
654,2,0.001367147446852143
655,2,0.001367147446852143
656,2,0.001367147446852143
657,2,0.001367147446852143
658,2,0.001367147446852143
659,2,0.001367147446852143
660,2,0.001367147446852143
661,2,0.001367147446852143
662,2,0.001367147446852143
663,2,0.001367147446852143
664,2,0.001367147446852143
665,2,0.001367147446852143
666,2,0.001367147446852143
667,2,0.001367147446852143
668,2,0.001367147446852143
669,2,0.001367147446852143
670,2,0.001367147446852143
671,2,0.001367147446852143
672,2,0.001367147446852143
673,2,0.001367147446852143
674,2,0.001367147446852143
675,2,0.001367147446852143
676,2,0.001367147446852143
677,2,0.001367147446852143
678,2,0.001367147446852143
679,2,0.001367147446852143
680,2,0.001367147446852143
681,2,0.001367147446852143
682,2,0.001367147446852143
683,2,0.001367147446852143
684,2,0.001367147446852143
685,2,0.001367147446852143
686,2,0.001367147446852143
687,2,0.001367147446852143
688,2,0.001367147446852143
689,2,0.001367147446852143
690,2,0.001367147446852143
691,2,0.001367147446852143
692,2,0.001367147446852143
693,2,0.001367147446852143
694,2,0.001367147446852143
695,2,0.001367147446852143
696,2,0.001367147446852143
697,2,0.001367147446852143
698,2,0.001367147446852143
699,2,0.001367147446852143
700,2,0.001367147446852143
701,2,0.001367147446852143
702,2,0.001367147446852143
703,2,0.001367147446852143
704,2,0.001367147446852143
705,2,0.001367147446852143
706,2,0.001367147446852143
707,2,0.001367147446852143
708,2,0.001367147446852143
709,2,0.001367147446852143
710,2,0.001367147446852143
711,2,0.001367147446852143
712,2,0.001367147446852143
713,2,0.001367147446852143
714,2,0.001367147446852143
715,2,0.001367147446852143
716,2,0.001367147446852143
717,2,0.001367147446852143
718,2,0.001367147446852143
719,2,0.001367147446852143
720,2,0.001367147446852143
721,2,0.001367147446852143
722,2,0.001367147446852143
723,2,0.001367147446852143
724,2,0.001367147446852143
725,2,0.001367147446852143
726,2,0.001367147446852143
727,2,0.001367147446852143
728,2,0.001367147446852143
729,2,0.001367147446852143
730,2,0.001367147446852143
731,2,0.001367147446852143
732,2,0.001367147446852143
733,2,0.001367147446852143
734,2,0.001367147446852143
735,2,0.001367147446852143
736,2,0.001367147446852143
737,2,0.001367147446852143
738,2,0.001367147446852143
739,2,0.001367147446852143
740,2,0.001367147446852143
741,2,0.001367147446852143
742,2,0.001367147446852143
743,2,0.001367147446852143
744,2,0.001367147446852143
745,2,0.001367147446852143
746,2,0.001367147446852143
747,2,0.001367147446852143
748,2,0.001367147446852143
749,2,0.001367147446852143
750,2,0.001367147446852143
751,2,0.001367147446852143
752,2,0.001367147446852143
753,2,0.001367147446852143
754,2,0.001367147446852143
755,2,0.001367147446852143
756,2,0.001367147446852143
757,2,0.001367147446852143
758,2,0.001367147446852143
759,2,0.001367147446852143
760,2,0.001367147446852143
761,2,0.001367147446852143
762,2,0.001367147446852143
763,2,0.001367147446852143
764,2,0.001367147446852143
765,2,0.001367147446852143
766,2,0.001367147446852143
767,2,0.001367147446852143
768,2,0.001367147446852143
769,2,0.001367147446852143
770,2,0.001367147446852143
771,2,0.001367147446852143
772,2,0.001367147446852143
773,2,0.001367147446852143
774,2,0.001367147446852143
775,2,0.001367147446852143
776,2,0.001367147446852143
777,2,0.001367147446852143
778,2,0.001367147446852143
779,2,0.001367147446852143
780,2,0.001367147446852143
781,2,0.001367147446852143
782,2,0.001367147446852143
783,2,0.001367147446852143
784,2,0.001367147446852143
785,2,0.001367147446852143
786,2,0.001367147446852143
787,2,0.001367147446852143
788,2,0.001367147446852143
789,2,0.001367147446852143
790,2,0.001367147446852143
791,2,0.001367147446852143
792,2,0.001367147446852143
793,2,0.001367147446852143
794,2,0.001367147446852143
795,2,0.001367147446852143
796,2,0.001367147446852143
797,2,0.001367147446852143
798,2,0.001367147446852143
799,2,0.001367147446852143
800,2,0.001367147446852143
801,2,0.001367147446852143
802,2,0.001367147446852143
803,2,0.001367147446852143
